step, arokato, population, wealth 
0,ATU02101,169.935,97.2069828847721
0,ATA02101,237.35,159.78691446237957
0,AAZ07104,25.209,5.688231777410423
0,AUZ07104,19.709,3.944376562222891
0,ATU05103,66.112,23.868460183526917
0,AAR09104,19.315,3.827659524651628
0,AAZ02102,25.34,5.732256346894057
0,AAR09102,10.377,1.519062018310854
0,AAZ04114,17.197,3.22033829570548
0,AUZ09104,206.866,130.23811918544538
0,AUZ02101,90.357,37.988203257739286
0,AAZ10108,20.333,4.131562021304148
0,AAZ04115,13.427,2.2286191762631535
0,AAZ10101,16.061,2.9090604646418767
0,AAZ04107,12.238,1.9414981064881909
0,AAZ04101,13.985,2.3677715374021315
0,AAR04101,14.932,2.6101590435319664
0,AAR01101,529.039,526.4205136862857
0,ATA05101,109.532,50.57916660308076
0,AAZ01214,13.159,2.1627747145024596
0,AAZ04109,10.44,1.532800497730184
0,AAZ04103,13.033,2.132042390890208
0,AUZ03101,154.675,84.51129384156725
0,AAZ01101,871.871,1106.7882446616288
0,AAZ01218,12.593,2.02586124057583
0,AUZ03103,105.082,47.55301386871469
0,AKI05101,65.197,23.378741056433007
0,AAZ01215,16.952,3.152331335099964
0,AAZ03101,51.485,16.454475523168192
0,AAZ05107,11.475,1.764209681963304
0,AAZ04117,20.368,4.142145194074637
0,AAZ04106,16.485,3.0240271763722197
0,AAZ06104,13.066,2.1400773952392522
0,AAZ05105,116.122,55.17144781167425
0,AAR11103,11.412,1.7498214029289858
0,AAZ04110,19.904,4.002566194301336
0,AUZ01101,151.328,81.80547958322227
0,AAR08102,108.446,49.835016124768394
0,AAR06107,49.423,15.483843270808494
0,AUZ12109,40.48,11.50616726829499
0,AKA13204,22.832,4.909056561927576
0,AUZ05104,123.467,60.44155617244341
0,AUZ12101,55.789,18.5416978302856
0,AAR06101,16.713,3.0864498934121825
0,AAZ09105,34.348,9.011868412959938
0,AUZ12112,1037.834,1434.2703794460442
0,AAZ08101,15.947,2.8783995579686965
0,AGE10101,12.42,1.9846021753248713
0,AGE10105,12.4,1.9798503088962922
0,AAZ08105,17.123,3.1997473001098724
0,AUZ13101,44.0,13.025541443731472
0,AAZ09106,10.25,1.4914905361120603
0,AGE02101,82.328,33.07753499604912
0,AGE01101,772.542,924.5421119976237
0,AGE02102,12.598,2.027057830727909
0,AGE09103,15.332,2.7148419061689273
0,AGE09102,16.868,3.129124399000348
0,AGE05104,15.328,2.7137884147346156
0,AGE03102,19.131,3.7735469654483786
